label,hu_moments
1,"[0.0010143420461922398, 1.1891288536134011e-12, 2.5440475210154402e-18, 6.679538093917494e-16, -2.2695234191716248e-32, -6.743686057061488e-22, 1.5591430588553924e-32]"
1,"[0.001014835518923498, 1.3325669248651848e-12, 7.600384954425562e-18, 1.1302268609286177e-15, -9.021463014014832e-32, -1.2516731298708023e-21, 5.324001778488191e-32]"
1,"[0.0010161465743072674, 1.22316931980165e-12, 1.1957208018616858e-17, 2.2630208329525964e-15, 2.9372700433247676e-32, 5.741910009392059e-22, 3.7110054151806847e-31]"
1,"[0.0010140581560804786, 6.314849064454814e-13, 7.199919413194266e-17, 1.8462246359066235e-14, 7.730403698632273e-30, -7.333356401151965e-21, 1.9832486064298412e-29]"
1,"[0.001014047771692902, 5.844400190879073e-13, 4.798982579586811e-17, 1.9734506359537397e-14, 6.607920227930439e-30, -3.0313963260525866e-21, 1.803238379844262e-29]"
1,"[0.0010113529020524346, 7.703553386145757e-13, 1.1190880419682501e-16, 6.384198801449519e-15, 1.6099162314090747e-30, -2.2389602771900746e-21, 5.150498951671304e-30]"
1,"[0.0010113400848385775, 1.0358812155247191e-12, 4.7702243997630446e-17, 1.000248523376994e-14, 9.403510285201067e-31, -2.719987008724255e-21, 6.84496589828282e-30]"
1,"[0.001010679457293372, 9.518257742585273e-13, 6.683998299677289e-17, 8.141945494698301e-15, 2.4992774643595737e-30, -1.8209376690137655e-21, 5.461668414898596e-30]"
1,"[0.0010132052469427324, 7.972928033920087e-13, 1.7296585152002412e-16, 1.653077450293889e-14, 2.051357293337729e-29, -2.4639042237097052e-21, 1.8987711147975286e-29]"
1,"[0.0010128325846759934, 1.053268703875884e-12, 4.9222485994362374e-17, 3.69846102851457e-15, 1.5674575992203199e-30, 1.4047230531235291e-21, 1.8230034789147645e-31]"
1,"[0.0010128550459218007, 1.4304486047251588e-12, 6.446503221673547e-17, 9.427285154867648e-16, -1.137113754934712e-31, -9.485384056227556e-23, 2.0268438888903027e-31]"
1,"[0.001014124636921401, 1.4079071209653431e-12, 9.121178148646003e-17, 8.756372214914444e-15, -6.802255613207896e-30, -9.109517686045287e-21, -3.868808952173918e-30]"
1,"[0.0010124007220113382, 7.174773524356614e-13, 4.731212888328713e-17, 4.155812800670953e-15, 1.754265029659311e-30, 2.247888101325875e-21, 5.642171880810333e-31]"
1,"[0.001014148269710032, 1.1987005925062042e-12, 1.1992605479483107e-17, 1.0030993126107645e-15, 5.328070261849849e-32, -9.448998521908007e-22, 9.625811476802375e-32]"
1,"[0.001013862720994325, 1.1579362453530577e-12, 2.4441866081370898e-17, 2.5006944104026906e-15, -1.119400188001444e-31, 1.1363519069245933e-22, 6.080229567865654e-31]"
1,"[0.0010141094444463996, 1.4100127905018164e-12, 9.260918012404416e-18, 8.325692303473623e-15, 1.3251482364842819e-30, -1.7627778995104212e-21, 1.894355018670033e-30]"
1,"[0.0010147902636552819, 1.5525625864773764e-12, 4.196134200883464e-18, 8.038107724382698e-15, 1.4698895711067979e-30, -3.5741345784959736e-21, 1.3672462405843719e-31]"
1,"[0.0010145837276327413, 1.7512239575553606e-12, 1.3957028291260705e-17, 1.7919806017813208e-15, 1.5436645896636783e-31, 6.069298271139978e-22, -2.37666352235505e-31]"
1,"[0.0010142586267108567, 1.7913000725816039e-12, 3.2273444559746923e-17, 2.657096200295529e-15, 7.1008972692138685e-31, -1.4614605411653812e-21, 3.1813058034715976e-31]"
1,"[0.0010126742307163294, 1.6375140791114252e-12, 6.720987171832678e-18, 1.5146077291178815e-15, -2.662031217172208e-32, -1.937980168146518e-21, -1.5047880016051788e-31]"
1,"[0.0010148533095628862, 1.8609669110394997e-12, 4.535487197422565e-18, 2.6409456505166744e-15, 2.21042946707318e-31, 3.566174796274888e-21, 1.8622977402057475e-31]"
1,"[0.001009025713670386, 1.3769730363208872e-12, 7.301568578206597e-19, 2.3748543419562353e-15, -7.215695110145933e-32, -6.201682231720365e-22, 6.762477178756786e-32]"
1,"[0.0010147715836558435, 1.0132896531469755e-12, 1.4827718746019435e-17, 3.3485806458836906e-15, 4.069608016979258e-31, -3.016725411238086e-21, 6.254025054133226e-31]"
1,"[0.0010096952587104338, 5.694024755197931e-13, 3.4777970551746946e-17, 5.753653149188433e-15, 2.29685059110745e-30, -3.721232280583971e-21, 1.161337719830605e-30]"
1,"[0.0010153836931522278, 1.3554699372786594e-12, 2.5292432335146985e-17, 3.46102565713572e-15, -3.6947723480753886e-31, 1.3816738359644225e-21, 9.550261687722693e-31]"
1,"[0.0010138000448544292, 5.087750006332889e-13, 1.8728925392138017e-17, 1.7374117433803164e-15, 2.691536753149003e-31, -3.470864011318077e-22, -1.6056491209599033e-31]"
