label,hu_moments
1,"[0.15960172953543297, 9.299821933771209e-05, 8.723018725219823e-06, 6.699224023110692e-09, -3.015236574793161e-16, -4.414952116707996e-11, -1.5911421394401352e-15]"
1,"[0.15947175590821644, 3.944519680631191e-05, 1.1772831971073551e-05, 1.0113860063126385e-08, 3.4611894664000777e-15, 4.743592795583288e-11, -4.469140566781146e-16]"
1,"[0.1594883061702253, 4.922977541174044e-05, 1.123128922587419e-05, 4.481844100167133e-09, -3.105872441651807e-16, -2.7081649359233212e-11, -9.563727945778222e-16]"
1,"[0.15953304761788983, 6.687128180941008e-05, 9.705836462912147e-06, 4.679049859730139e-09, -5.661997303030346e-16, -3.667857297193627e-11, -8.207872132906372e-16]"
1,"[0.15966223201164376, 9.902340848874686e-05, 1.1652959805476474e-05, 1.3242787060342859e-08, 1.2913850977295415e-15, -4.244577280203687e-11, -5.039368110256346e-15]"
1,"[0.15971755630320986, 0.00012144838517414806, 1.023427596869545e-05, 1.2351405696529651e-08, -8.380651779829264e-16, -8.936007027757182e-11, -4.310690612387658e-15]"
1,"[0.1597300469538971, 0.00012205983857275987, 1.3723018946993963e-05, 2.677778987504227e-08, 1.3825120122434818e-14, 2.6169080660431956e-10, -8.506582564128185e-15]"
1,"[0.1596223880659399, 0.00010558295240104679, 7.562936111634748e-06, 1.0489423171141908e-08, 9.552455465251767e-16, 5.9766635861644815e-12, 2.7957323171964433e-15]"
1,"[0.15941818276450503, 3.60209265063609e-05, 9.287759412405628e-06, 6.442956968578177e-09, 1.4155412460945418e-15, 2.8850756141550577e-11, 6.930577950847118e-16]"
1,"[0.15965545250241364, 0.0001015947764757133, 1.2608398723455083e-05, 2.069472965156386e-08, 6.065839314398761e-15, 1.2181724794430165e-10, -8.65756612185749e-15]"
2,"[0.16639352637291094, 1.394891396742168e-05, 2.9862497718233462e-06, 9.59836180831876e-08, 4.411222024306441e-14, 1.6509469504809636e-10, -2.6359104315006843e-14]"
2,"[0.16658038906524203, 3.203922793418821e-05, 1.0107450719101815e-05, 2.774235065641994e-07, 3.9784611529934665e-13, -8.028088282741588e-11, 2.3985076221724354e-13]"
2,"[0.16693593763345915, 8.328305226817736e-05, 2.4016136793741592e-05, 5.21382579199268e-07, 1.6113984596632912e-12, -8.94550813353624e-10, 8.984781030676084e-13]"
2,"[0.1665798915191013, 1.698277378239742e-05, 1.600167820969842e-06, 8.24784192344324e-08, 1.4059893292079254e-14, -6.652679731007828e-11, 2.6460039712412598e-14]"
2,"[0.16648287726699565, 2.2804812519931132e-05, 2.5367046063754666e-06, 7.337979412239416e-08, -3.161895979082175e-14, -3.375488706078632e-10, 1.595353524822971e-15]"
3,"[0.19118751862661992, 0.0002203649932851389, 0.004254653710236428, 7.1723485496718875e-06, 3.919597147712852e-10, 5.379859770411245e-08, 1.1900345508678922e-09]"
3,"[0.19128027971879186, 0.00023186699596193375, 0.004265946352421144, 7.30464249668279e-06, 5.992543049971214e-10, 7.092819569671645e-08, 1.1417478321343129e-09]"
3,"[0.1911637374821361, 0.00021401471618895967, 0.004251452254921155, 6.528759920759749e-06, 3.1159222313531636e-10, 4.710092603055346e-08, 1.0421285616211598e-09]"
3,"[0.19171596160099882, 0.00013053972720201903, 0.004380042006995634, 4.8984439767644555e-06, 1.0467721411895405e-10, 2.3965762484883747e-08, 7.098306010204564e-10]"
3,"[0.1911906718817153, 0.00012923393783368175, 0.0042872232134548134, 4.683631252368722e-06, 2.0938818097446816e-10, 3.361507057799735e-08, 6.297892887734663e-10]"
3,"[0.19114773178710842, 3.0013530881156823e-05, 0.004320641189605666, 8.448355063404058e-07, -4.236897736797852e-11, -3.693151303192006e-09, -2.846421198930766e-11]"
3,"[0.19141224139229315, 2.9306067984450457e-05, 0.004367009656985079, 8.250064289449219e-07, 4.891719032257762e-11, 4.457571587648654e-09, -7.701296935924194e-12]"
3,"[0.19066013542652288, 5.960424251310568e-05, 0.0042257861954760065, 2.4483660826268735e-06, 1.8805296180542187e-10, 1.6826866644252283e-08, -1.6326901772191378e-10]"
3,"[0.19165442970270496, 6.245067157025222e-05, 0.004398123919070713, 2.177249613754915e-06, 2.1189267572301376e-10, 1.7075239456204275e-08, 2.224483879855085e-11]"
3,"[0.19489767354411236, 0.0005137864320866297, 0.00480506689066875, 1.47757727557429e-05, -2.958014015908897e-09, -2.8564125525870145e-07, 2.5982317035804155e-09]"
3,"[0.19223394303861518, 7.255259151383488e-05, 0.004495114320297579, 2.10174004790436e-06, 1.789660357461966e-10, 1.594921199287282e-08, -9.850877532893847e-11]"
3,"[0.191373040826394, 1.0823081394222579e-05, 0.004367069569067595, 3.209311141211397e-07, 1.1346820825787438e-11, 9.752730268987937e-10, -3.9500101230808934e-12]"
2,"[0.16622441754303924, 1.4599215404903363e-06, 3.6930835498183564e-06, 1.0965746308831945e-08, -1.3853232978593324e-15, -1.3076584625919048e-11, -1.7177299781833784e-15]"
2,"[0.1660969035288478, 8.430344233929145e-07, 1.068237265327978e-05, 8.514215516342324e-08, -7.196446713934801e-14, -7.813216805965098e-11, -3.7608474044402646e-14]"
2,"[0.16622327304864004, 1.6060729827267524e-05, 7.577409461256695e-06, 6.294104869732768e-08, 2.4771930668222853e-14, 2.2360809790016513e-10, -3.5717588034753296e-14]"
2,"[0.16606101597532402, 2.4588777911623016e-05, 9.15489978202206e-06, 8.346444159147563e-08, 4.0056774695863326e-14, -3.829811358130682e-10, -6.097929541510403e-14]"
2,"[0.16617409077183531, 8.069236194068529e-07, 1.1044075768179102e-06, 2.1229280039363257e-08, 3.2006923380867716e-15, 1.1621232099741278e-11, -5.675969646418808e-16]"
3,"[0.19191694671567022, 5.224982770982229e-05, 0.004446199324523127, 1.462295958477105e-06, 1.1755852579472928e-10, 1.0564817772043607e-08, -9.085850102960806e-12]"
